Pipette,Volume*,Measurement,Volume,Normalized Measurement
p20,2µ,0.014,low-val,0.0621865596790371
p20,2µ,0.0016,low-val,0.0
p20,2µ,0.0018,low-val,0.001003009027081243
p20,10µ,0.0088,med-val,0.03610832497492478
p20,10µ,0.0099,med-val,0.04162487462387161
p20,10µ,0.0094,med-val,0.0391173520561685
p20,20µ,0.0189,high-val,0.08676028084252757
p20,20µ,0.201,high-val,1.0
p20,20µ,0.0194,high-val,0.08926780341023068
p200,20µ,0.0193,low-val,0.0
p200,20µ,0.0199,low-val,0.0032310177705977376
p200,20µ,0.02,low-val,0.003769520732364024
p200,100µ,0.0989,med-val,0.4286483575659667
p200,100µ,0.0996,med-val,0.43241787829833067
p200,100µ,0.0999,med-val,0.4340333871836296
p200,200µ,0.205,high-val,1.0
p200,200µ,0.2006,high-val,0.9763058696822833
p200,200µ,0.2006,high-val,0.9763058696822833
