Pipette,Volume*,Measurement,Volume,Normalized Measurement
p10,1µ,0.001,low-val,0.01123595505617978
p10,1µ,0.0011,low-val,0.02247191011235956
p10,1µ,0.0009,low-val,0.0
p10,5µ,0.0049,med-val,0.449438202247191
p10,5µ,0.0047,med-val,0.4269662921348315
p10,5µ,0.0047,med-val,0.4269662921348315
p10,10µ,0.0096,high-val,0.9775280898876404
p10,10µ,0.0098,high-val,1.0
p10,10µ,0.0098,high-val,1.0
p200,20µ,0.0193,low-val,0.0
p200,20µ,0.0195,low-val,0.0011204481792717019
p200,20µ,0.0193,low-val,0.0
p200,100µ,0.098,med-val,0.4408963585434174
p200,100µ,0.0983,med-val,0.44257703081232497
p200,100µ,0.0985,med-val,0.44369747899159667
p200,200µ,0.1977,high-val,0.999439775910364
p200,200µ,0.1976,high-val,0.9988795518207283
p200,200µ,0.1978,high-val,1.0
p1000,100µ,0.0979,low-val,0.0
p1000,100µ,0.0989,low-val,0.0011219566924716717
p1000,100µ,0.0979,low-val,0.0
p1000,500µ,0.4949,med-val,0.44541680691125324
p1000,500µ,0.4931,med-val,0.44339728486480423
p1000,500µ,0.4928,med-val,0.44306069785706276
p1000,1000µ,0.9892,high-val,1.0
p1000,1000µ,0.9881,high-val,0.9987658476382811
p1000,1000µ,0.9851,high-val,0.9953999775608662
