Unnamed: 0,Unnamed: 1,Control,Unnamed: 3,Unnamed: 4,Serum starvation,Unnamed: 6,Unnamed: 7,Nocodazol,Unnamed: 9,Unnamed: 10,Aphidicholin,Unnamed: 12,Unnamed: 13
,,0h,24h,48h,0h,24h,48h,0h,24h,48h,0h,24h,48h
gezählte Zellen, G0/G1 ,24,84,205,36,84,143,13,6,8,33,15,32
,G2/S,4,15,41,9,25,21,18,14,12,15,63,29
,mitotic cells ,10,3,1,0,0,0,1,13,3,0,0,0
,dividing cells,0,6,0,1,5,0,0,0,0,0,0,0
,blebbing,0,0,0,1,3,3,1,3,11,0,0,3
,Gesammt Zellzahl,38,108,247,47,117,167,33,36,34,48,78,64
Anteil, G0/G1 ,0.631578947368421,0.7777777777777778,0.8299595141700404,0.7659574468085106,0.717948717948718,0.8562874251497006,0.3939393939393939,0.16666666666666666,0.23529411764705882,0.6875,0.19230769230769232,0.5
,G2/S,0.10526315789473684,0.1388888888888889,0.1659919028340081,0.19148936170212766,0.21367521367521367,0.12574850299401197,0.5454545454545454,0.3888888888888889,0.35294117647058826,0.3125,0.8076923076923077,0.453125
,mitotic cells ,0.2631578947368421,0.027777777777777776,0.004048582995951417,0,0,0,0.030303030303030304,0.3611111111111111,0.08823529411764706,0,0,0
,dividing cells,0,0.05555555555555555,0,0.02127659574468085,0.042735042735042736,0,0,0,0,0,0,0
,blebbing,0,0,0,0.02127659574468085,0.02564102564102564,0.017964071856287425,0.030303030303030304,0.08333333333333333,0.3235294117647059,0,0,0.046875
