incubator;temperature;medium;growth
fisher;t36.5;a;0,355322638702593
fisher;t36.5;b;0,963115863569465
fisher;t36.5;c;0,14850174733622
fisher;t36.5;a;0,0748626668375553
fisher;t36.5;b;0,0378498349288355
fisher;t36.5;c;0,0637912941454069
fisher;t36.5;a;0,41937487390423
fisher;t36.5;b;0,743969427672281
fisher;t36.5;c;0,00192953805095759
binder;t37;a;0,719312640064313
binder;t37;b;0,27783525163205
binder;t37;c;0,542022626136667
binder;t37;a;0,494560390412434
binder;t37;b;0,313423912817838
binder;t37;c;0,329567581163265
binder;t37;a;0,0132163227792562
binder;t37;b;0,439914049395845
binder;t37;c;0,98595453639267
